title,budget,revenue,roi
The Big Short,28000000,133346506,4.76
Precious,10000000,47536959,4.75
Phenomenon,32000000,152036382,4.75
Lola rennt,1530000,7267585,4.75
The Green Mile,60000000,284600000,4.74
Transformers,150000000,709709780,4.73
Blue Valentine,3500000,16566240,4.73
Austin Powers in Goldmember,63000000,296655431,4.71
Paddington,55000000,259207227,4.71
Miss Congeniality,45000000,212000000,4.71
Final Destination 3,25000000,117719158,4.71
American Reunion,50000000,234989584,4.7
God's Not Dead 2,5000000,23507567,4.7
Creed,37000000,173567581,4.69
The Eye,12000000,56309766,4.69
Frida,12000000,56298474,4.69
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,4.68
The SpongeBob SquarePants Movie,30000000,140161792,4.67
Finding Neverland,25000000,116766556,4.67
Lawrence of Arabia,15000000,69995385,4.67
Spellbound,1500000,7000000,4.67
Rebecca,1288000,6000000,4.66
The Final Destination,40000000,186167139,4.65
The Butler,25000000,115922175,4.64
The Hills Have Eyes,15000000,69623713,4.64
Lolita,2000000,9250000,4.63
Set It Off,9000000,41590886,4.62
Captain America: Civil War,250000000,1153304495,4.61
La Guerre du feu,12000000,55260558,4.61
Scary Movie 3,48000000,220673217,4.6
Source Code,32000000,147332697,4.6
Dear John,25000000,114977104,4.6
Boom Town,2000000,9172000,4.59
Alvin and the Chipmunks: Chipwrecked,75000000,342695435,4.57
Shrek Forever After,165000000,752600867,4.56
Inglourious Basterds,70000000,319131050,4.56
Remember the Titans,30000000,136706683,4.56
Guardians of the Galaxy,170000000,773328629,4.55
Mission: Impossible - Rogue Nation,150000000,682330139,4.55
Nightcrawler,8500000,38697217,4.55
Major League,11000000,49797148,4.53
ต้มยำกุ้ง,6000000,27165581,4.53
You Can't Take It With You,1644736,7433101,4.52
Journey 2: The Mysterious Island,79000000,355692760,4.5
Hansel & Gretel: Witch Hunters,50000000,224803475,4.5
崖の上のポニョ,41677699,187479518,4.5
Prophecy,12000000,54000000,4.5
A Serious Man,7000000,31430334,4.49
War of the Worlds,132000000,591739379,4.48
The First Wives Club,26000000,116400000,4.48
Coal Miner's Daughter,15000000,67182787,4.48
The Rock,75000000,335062621,4.47
The Princess Diaries,37000000,165335153,4.47
Non-Stop,50000000,222809600,4.46
When a Stranger Calls,15000000,66966987,4.46
Recess: School's Out,10000000,44460850,4.45
Kung Fu Panda 2,150000000,665692281,4.44
Gladiator,103000000,457640427,4.44
Never Say Never Again,36000000,160000000,4.44
Hannah Montana: The Movie,35000000,155545279,4.44
A Streetcar Named Desire,1800000,8000000,4.44
He's Just Not That Into You,40000000,177259441,4.43
Gosford Park,19800000,87754044,4.43
The Mummy Returns,98000000,433013274,4.42
Runaway Bride,70000000,309457509,4.42
Burn After Reading,37000000,163720069,4.42
Spotlight,20000000,88346473,4.42
Tremors,11000000,48572000,4.42
Jagten,3800000,16800000,4.42
Memento,9000000,39723096,4.41
Four Lions,967686,4270000,4.41
The Truman Show,60000000,264118201,4.4
El laberinto del fauno,19000000,83258226,4.38
Go,6500000,28451622,4.38
Mission: Impossible II,125000000,546388105,4.37
Unknown,30000000,130786397,4.36
葉問3,36000000,156844753,4.36
The Day After Tomorrow,125000000,544272402,4.35
Mr. & Mrs. Smith,110000000,478207520,4.35
In Time,40000000,173930596,4.35
Underworld,22000000,95708457,4.35
One Hour Photo,12000000,52223306,4.35
The Dark Knight Rises,250000000,1084939099,4.34
Central Intelligence,50000000,216972543,4.34
The Pelican Brief,45000000,195268056,4.34
Zombieland,23600000,102391382,4.34
Epic Movie,20000000,86865564,4.34
The Croods,135000000,585178928,4.33
Pride & Prejudice,28000000,121147947,4.33
Torn Curtain,3000000,13000000,4.33
Traffic,48000000,207515725,4.32
紅番區,7500000,32392047,4.32
Atonement,30000000,129266061,4.31
To Rome with Love,17000000,73244881,4.31
Hook,70000000,300854823,4.3
Friends with Benefits,35000000,150483765,4.3
Over the Hedge,80000000,343397247,4.29
Lo imposible,42000000,180274123,4.29
San Andreas,110000000,470490832,4.28
The Village,60000000,256697520,4.28
Closer,27000000,115505027,4.28
Wag the Dog,15000000,64256513,4.28
28 Weeks Later,15000000,64238440,4.28
Pokémon 3: The Movie,16000000,68411275,4.28
Puss in Boots,130000000,554987477,4.27
The Blues Brothers,27000000,115229890,4.27
Moonrise Kingdom,16000000,68263166,4.27
Suicide Squad,175000000,745000000,4.26
Into the Woods,50000000,212902372,4.26
Step Up Revolution,33000000,140470746,4.26
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,4.25
Django Unchained,100000000,425368238,4.25
Dumb and Dumber To,40000000,169837010,4.25
Lincoln,65000000,275293450,4.24
Freaky Friday,26000000,110230332,4.24
My Fair Lady,17000000,72070731,4.24
Dabba,1000000,4235151,4.24
Spy Kids,35000000,147934180,4.23
The Fourth Kind,10000000,42333295,4.23
The Valley of Decision,2160000,9132000,4.23
Hotel Transylvania,85000000,358375603,4.22
St. Vincent,13000000,54837234,4.22
Maleficent,180000000,758539785,4.21
The SpongeBob Movie: Sponge Out of Water,74000000,311594032,4.21
American Wedding,55000000,231449203,4.21
The 40 Year Old Virgin,26000000,109449237,4.21
I Am Sam,22000000,92542418,4.21
Premonition,20000000,84146832,4.21
The Best Man Holiday,17000000,71625195,4.21
Up,175000000,735099082,4.2
Captain America: The Winter Soldier,170000000,714766572,4.2
How to Train Your Dragon 2,145000000,609123048,4.2
Veer-Zaara,7000000,29385320,4.2
Nerve,20000000,83707310,4.19
Iron Man,140000000,585174222,4.18
Dawn of the Planet of the Apes,170000000,710644566,4.18
The Wood,6000000,25059640,4.18
Hitman,24000000,99965753,4.17
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,4.16
Hancock,150000000,624029371,4.16
Ratatouille,150000000,623722818,4.16
Valentine's Day,52000000,216485654,4.16
The Town,37000000,154026136,4.16
Doctor Dolittle,71000000,294456605,4.15
Out of Africa,31000000,128499205,4.15
Not Another Teen Movie,16000000,66468332,4.15
Bridge of Spies,40000000,165478348,4.14
Trainspotting,4000000,16491080,4.12
Tumbleweeds,312000,1281176,4.11
Inside Man,45000000,184376254,4.1
Austin Powers: International Man of Mystery,16500000,67683989,4.1
Krampus,15000000,61548707,4.1
Interstellar,165000000,675120017,4.09
Panic Room,48000000,196397415,4.09
Along Came Polly,42000000,171963386,4.09
National Lampoon's Vacation,15000000,61399552,4.09
The Hobbit: An Unexpected Journey,250000000,1021103568,4.08
The Hunger Games: Mockingjay - Part 2,160000000,653428261,4.08
No Good Deed,13200000,53830415,4.08
Die Hard: With a Vengeance,90000000,366101666,4.07
Marley & Me,60000000,244082376,4.07
Flightplan,55000000,223387299,4.06
Patch Adams,50000000,202292902,4.05
Scream 3,40000000,161834276,4.05
Bill & Ted's Excellent Adventure,10000000,40485039,4.05
Swimfan,8500000,34411240,4.05
The Hundred-Foot Journey,22000000,88880821,4.04
Madagascar: Escape 2 Africa,150000000,603900354,4.03
Vampires Suck,20000000,80547866,4.03
Total Recall,65000000,261317921,4.02
Garfield,50000000,200804534,4.02
Liar Liar,45000000,181000000,4.02
Trainwreck,35000000,140795793,4.02
Enchanted,85000000,340487652,4.01
Johnny English,40000000,160583018,4.01
The Forest,10000000,40055439,4.01
Spice World,25000000,100000000,4.0
Creepshow 2,3500000,14000000,4.0
Hud,2500000,10000000,4.0
Ant-Man,130000000,519311965,3.99
Casino Royale,150000000,599045960,3.99
The Notebook,29000000,115603229,3.99
Nighthawks,5000000,19905359,3.98
Bachelorette,3000000,11947954,3.98
Jurassic Park III,93000000,368780809,3.97
Sin City,40000000,158733820,3.97
Star Trek: The Motion Picture,35000000,139000000,3.97
The Lucky One,25000000,99357138,3.97
Whiplash,3300000,13092000,3.97
Armageddon,140000000,553799566,3.96
Conan the Barbarian,20000000,79114085,3.96
xXx,70000000,277448382,3.96
Patriot Games,45000000,178051587,3.96
Scary Movie 4,45000000,178262620,3.96
One Day,15000000,59389433,3.96
Big Hero 6,165000000,652105443,3.95
The Revenant,135000000,532950503,3.95
X-Men,75000000,296339527,3.95
Family Plot,2000000,7900000,3.95
The Break-Up,52000000,204999686,3.94
This Is the End,32000000,126041322,3.94
Inside Job,2000000,7871522,3.94
Firefox,18000000,70687344,3.93
Spider-Man 2,200000000,783766341,3.92
The Wolf of Wall Street,100000000,392000694,3.92
Scary Movie 5,20000000,78378744,3.92
About Last Night,12500000,49002684,3.92
Dave Chappelle's Block Party,3000000,11718595,3.91
I Am Legend,150000000,585349010,3.9
The Bucket List,45000000,175372502,3.9
Gentleman's Agreement,2000000,7800000,3.9
Disclosure,55000000,214015089,3.89
The Usual Suspects,6000000,23341568,3.89
Ransom,80000000,309492681,3.87
Rush Hour 2,90000000,347325802,3.86
You've Got Mail,65000000,250821495,3.86
Deuce Bigalow: Male Gigolo,17000000,65535067,3.86
2012,200000000,769653595,3.85
The Bourne Supremacy,75000000,288500217,3.85
Cars,120000000,461983149,3.85
The Animal,22000000,84772742,3.85
Happy Feet,100000000,384335608,3.84
The Best Man,9000000,34573780,3.84
The Hobbit: The Desolation of Smaug,250000000,958400000,3.83
Freddy vs. Jason,30000000,114908830,3.83
The Hobbit: The Battle of the Five Armies,250000000,956019788,3.82
Teenage Mutant Ninja Turtles,125000000,477200000,3.82
Bride Wars,30000000,114663461,3.82
A Time to Kill,40000000,152266007,3.81
Get Shorty,30250000,115101622,3.81
Hope Springs,30000000,114281051,3.81
Thank You for Smoking,6500000,24793509,3.81
Outbreak,50000000,189859560,3.8
The Hustler,2000000,7600000,3.8
Thor: The Dark World,170000000,644571402,3.79
The Specialist,45000000,170362582,3.79
1408,25000000,94679598,3.79
The Color of Money,13800000,52293982,3.79
The Lost Boys,8500000,32222567,3.79
Vantage Point,40000000,151161491,3.78
The Naked Gun 2½: The Smell of Fear,23000000,86930411,3.78
The Rookie,20000000,75597042,3.78
Hang 'em High,1800000,6800000,3.78
22 Jump Street,50000000,188441614,3.77
Sleepers,44000000,165615285,3.76
Timecop,27000000,101646581,3.76
Pineapple Express,27000000,101624843,3.76
School of Rock,35000000,131282949,3.75
Into the Wild,15000000,56255142,3.75
A Walk to Remember,11000000,41227069,3.75
Harry Potter and the Half-Blood Prince,250000000,933959197,3.74
The Fighter,25000000,93617009,3.74
Oliver!,10000000,37402877,3.74
Interview with the Vampire,60000000,223664608,3.73
Lone Survivor,40000000,149295601,3.73
Before Midnight,3000000,11176469,3.73
Serbuan maut,1100000,4105187,3.73
Monsters University,200000000,743559607,3.72
Now You See Me 2,90000000,334901337,3.72
Michael Clayton,25000000,92991835,3.72
In Cold Blood,3500000,13007551,3.72
X2,110000000,407711549,3.71
Air Force One,85000000,315156409,3.71
Jeepers Creepers 2,17000000,63102666,3.71
Everest,55000000,203427584,3.7
21 & Over,13000000,48065672,3.7
Shutter Island,80000000,294804195,3.69
Resident Evil: Retribution,65000000,240159255,3.69
The Heat,43000000,158674180,3.69
A Cinderella Story,19000000,70067909,3.69
Why Did I Get Married?,15000000,55184721,3.68
The Muppets,45000000,165184237,3.67
Ocean's Thirteen,85000000,311312624,3.66
The Terminal,60000000,219417255,3.66
Without a Paddle,19000000,69631118,3.66
Dawn of the Dead,28000000,102356381,3.66
The Kite Runner,20000000,73276047,3.66
The Godfather: Part II,13000000,47542841,3.66
Nick and Norah's Infinite Playlist,9000000,32973937,3.66
The Nun's Story,3500000,12800000,3.66
Music and Lyrics,40000000,145896422,3.65
Cliffhanger,70000000,255000211,3.64
Jack Reacher,60000000,218340595,3.64
Romeo Must Die,25000000,91036760,3.64
Quo Vadis,8250000,30000000,3.64
Old School,24000000,87055349,3.63
New in Town,8000000,29010817,3.63
Desperado,7000000,25405445,3.63
Planet of the Apes,100000000,362211740,3.62
Sanctum,30000000,108609310,3.62
Barbershop 2:  Back in Business,18000000,65070412,3.62
Harold & Kumar Escape from Guantanamo Bay,12000000,43493123,3.62
City of Angels,55000000,198685114,3.61
L.A. Confidential,35000000,126216940,3.61
Eternal Sunshine of the Spotless Mind,20000000,72258126,3.61
Letters from Iwo Jima,19000000,68673228,3.61
The Beach,40000000,144056873,3.6
Monster-in-Law,43000000,154749918,3.6
Trapeze,4000000,14400000,3.6
Frenzy,3500000,12600000,3.6
Spectre,245000000,880674609,3.59
Kung Fu Panda 3,145000000,521170825,3.59
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,3.59
Star Trek VI: The Undiscovered Country,27000000,96900000,3.59
Crank,12000000,42931041,3.58
Dead Man Walking,11000000,39363635,3.58
The Bourne Identity,60000000,214034224,3.57
Soul Kitchen,5000000,17872796,3.57
Johnny English Reborn,45000000,160078586,3.56
The Return of the Living Dead,4000000,14237000,3.56
How to Lose a Guy in 10 Days,50000000,177371441,3.55
Anacondas: The Hunt for the Blood Orchid,20000000,70992898,3.55
Halloween 4: The Return of Michael Myers,5000000,17768757,3.55
The Hateful Eight,44000000,155760117,3.54
Gothika,40000000,141591324,3.54
The Amazing Spider-Man 2,200000000,705717432,3.53
Superman II,54000000,190458706,3.53
Shallow Hal,40000000,141069860,3.53
The Reader,32000000,113019290,3.53
About Schmidt,30000000,105834556,3.53
Gandhi,22000000,77737889,3.53
Big Fat Liar,15000000,52970014,3.53
My Name Is Khan,12000000,42345360,3.53
The Wind That Shakes the Barley,6500000,22889018,3.52
Raising Victor Vargas,800000,2816116,3.52
Minority Report,102000000,358372926,3.51
Forgetting Sarah Marshall,30000000,105173115,3.51
Diary of a Wimpy Kid: Dog Days,22000000,77112176,3.51
The Amazing Spider-Man,215000000,752215857,3.5
Batman Returns,80000000,280000000,3.5
The Equalizer,55000000,192330738,3.5
Wild,15000000,52501541,3.5
Batman v Superman: Dawn of Justice,250000000,873260194,3.49
Live Free or Die Hard,110000000,383531464,3.49
Safe Haven,28000000,97594140,3.49
Hostel: Part II,10200000,35619521,3.49
Robots,75000000,260696994,3.48
Clear and Present Danger,62000000,215887717,3.48
Final Destination 2,26000000,90426405,3.48
Anchorman: The Legend of Ron Burgundy,26000000,90574188,3.48
Honey,18000000,62646763,3.48
Earth to Echo,13000000,45300000,3.48
An Education,7500000,26096852,3.48
National Treasure,100000000,347451894,3.47
Anchorman 2: The Legend Continues,50000000,173649015,3.47
Piranha 3D,24000000,83188165,3.47
Elmer Gantry,3000000,10400000,3.47
Jason Bourne,120000000,415484914,3.46
The Wolverine,120000000,415440673,3.46
Big Momma's House 2,40000000,138259062,3.46
The Secret Life of Bees,11000000,38105395,3.46
Spider-Man 3,258000000,890871626,3.45
Money Monster,27000000,93282604,3.45
Pain & Gain,25000000,86175291,3.45
Diary of a Wimpy Kid: Rodrick Rules,21000000,72417394,3.45
Wanted,75000000,258270008,3.44
Kick-Ass,28000000,96188903,3.44
Young Guns,13000000,44726644,3.44
This Is England,2380000,8176544,3.44
The Expendables,80000000,274470394,3.43
Die Hard 2,70000000,240031094,3.43
London Has Fallen,60000000,205754447,3.43
Mr. Deeds,50000000,171269535,3.43
The Pianist,35000000,120072577,3.43
Love & Other Drugs,30000000,102820008,3.43
Happy Gilmore,12000000,41205099,3.43
Harper,3500000,12000000,3.43
Brown Sugar,8000000,27362712,3.42
Eat Pray Love,60000000,204594016,3.41
Mr. Popper's Penguins,55000000,187361754,3.41
Moulin Rouge!,52500000,179213434,3.41
Divergent,85000000,288747895,3.4
The Bounty Hunter,40000000,136000000,3.4
Shall We Dance?,50000000,170128460,3.4
The Royal Tenenbaums,21000000,71441250,3.4
A Passage to India,8000000,27187653,3.4
Hoodwinked!,15000000,51053787,3.4
Quarantine,12000000,40855419,3.4
Duel in the Sun,6000000,20400000,3.4
Grown Ups,80000000,271430189,3.39
Once Upon a Time in Mexico,29000000,98185582,3.39
Mulan,90000000,304320254,3.38
She Wore a Yellow Ribbon,1600000,5400000,3.38
Batman Forever,100000000,336529144,3.37
Vacation,31000000,104384188,3.37
The Verdict,16000000,53977250,3.37
The Outsiders,10000000,33697647,3.37
Final Destination 5,47000000,157887643,3.36
Boogeyman,20000000,67192859,3.36
Wild Things,20000000,67200000,3.36
Smokin' Aces,17000000,57103895,3.36
Devil,10000000,33583175,3.36
Collateral,65000000,217764291,3.35
The Rugrats Movie,30000000,100491683,3.35
The History Boys,4000000,13401952,3.35
The Great Gatsby,105000000,351040419,3.34
Horrible Bosses,35000000,117000000,3.34
Warm Bodies,35000000,116980662,3.34
Selma,20000000,66787908,3.34
10 Things I Hate About You,16000000,53478166,3.34
Something's Gotta Give,80000000,266728738,3.33
Bad Santa,23000000,76488889,3.33
The Deer Hunter,15000000,50000000,3.33
Judgment at Nuremberg,3000000,10000000,3.33
Zero Dark Thirty,40000000,132820716,3.32
The Smurfs 2,105000000,347434178,3.31
A Good Day to Die Hard,92000000,304654182,3.31
Unbreakable,75000000,248118121,3.31
No Reservations,28000000,92601050,3.31
Jackie Brown,12000000,39673162,3.31
Ocean's Twelve,110000000,362744280,3.3
Resident Evil: Extinction,45000000,148412065,3.3
Role Models,28000000,92380927,3.3
Notes on a Scandal,15000000,49469904,3.3
The Constant Gardener,25000000,82466670,3.3
Run Fatboy Run,10000000,33000000,3.3
[REC]²,5600000,18469680,3.3
True Lies,115000000,378882411,3.29
Tsotsi,3000000,9879971,3.29
Scooby-Doo,84000000,275650703,3.28
Street Kings,20000000,65569869,3.28
The American,20000000,65464324,3.27
The Lizzie McGuire Movie,17000000,55534455,3.27
The Last Samurai,140000000,456758981,3.26
Due Date,65000000,211780824,3.26
Star Trek: First Contact,46000000,150000000,3.26
That Awkward Moment,8000000,26049082,3.26
The Guard,6000000,19560274,3.26
They Live,4000000,13008928,3.25
Julie & Julia,40000000,129540499,3.24
Species,35000000,113374103,3.24
Jimmy Neutron: Boy Genius,25000000,80936232,3.24
The Bank Job,20000000,64822796,3.24
Yes Man,70000000,225990978,3.23
The Ring Two,50000000,161451538,3.23
Bring It On,28000000,90449929,3.23
Sunshine Cleaning,5000000,16174377,3.23
The Departed,90000000,289847354,3.22
Entrapment,66000000,212404396,3.22
The Talented Mr. Ripley,40000000,128798265,3.22
Saving Mr. Banks,35000000,112544580,3.22
Pearl Harbor,140000000,449220945,3.21
Into the Storm,50000000,160602194,3.21
The Lawnmower Man,10000000,32101000,3.21
Pirates of the Caribbean: At World's End,300000000,961000000,3.2
Alien³,50000000,159773545,3.2
Employee of the Month,12000000,38368909,3.2
Ted 2,68000000,217022588,3.19
My Sister's Keeper,30000000,95714875,3.19
The Golden Child,25000000,79817939,3.19
The Hangover Part II,80000000,254455986,3.18
Cloudy with a Chance of Meatballs 2,78000000,248384621,3.18
Charlie and the Chocolate Factory,150000000,474968763,3.17
Spy Kids: All the Time in the World,27000000,85564310,3.17
The Mist,18000000,57096190,3.17
Freddy's Dead: The Final Nightmare,11000000,34872033,3.17
Men in Black II,140000000,441818803,3.16
Lucy,40000000,126546825,3.16
Predators,40000000,126248813,3.16
Star Trek: Generations,38000000,120000000,3.16
The Cell,33000000,104155843,3.16
Sex Tape,40000000,126069509,3.15
Spy Kids 2: The Island of Lost Dreams,38000000,119723358,3.15
The Wedding Date,15000000,47175038,3.15
The Rose,9250000,29174648,3.15
The Lost World: Jurassic Park,73000000,229074524,3.14
Scary Movie 2,45000000,141220678,3.14
The Expendables 2,100000000,312573423,3.13
Space Jam,80000000,250200000,3.13
Racing Stripes,30000000,93772522,3.13
The Women,16000000,50007546,3.13
The Object of My Affection,15000000,46905889,3.13
Dancer in the Dark,12800000,40031879,3.13
A Mighty Wind,6000000,18750246,3.13
Iron Man 2,200000000,623933331,3.12
The Prince of Egypt,70000000,218613188,3.12
Ride Along 2,40000000,124827316,3.12
Ray,40000000,124731534,3.12
Resident Evil,33000000,102984862,3.12
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78000000,3.12
Land of the Dead,15000000,46770602,3.12
Little Fockers,100000000,310650585,3.11
Fury,68000000,211817906,3.11
2 Fast 2 Furious,76000000,236350661,3.11
The Horse Whisperer,60000000,186883563,3.11
Knowing,50000000,155446362,3.11
Neighbors 2: Sorority Rising,35000000,108758521,3.11
Prometheus,130000000,403170142,3.1
Open Range,22000000,68296293,3.1
Raising Cain,12000000,37170057,3.1
Die Another Day,140000000,431971116,3.09
Grown Ups 2,80000000,246984278,3.09
Blended,40000000,123494610,3.09
The Grey,25000000,77278331,3.09
There Will Be Blood,25000000,77208711,3.09
Dracula Untold,70000000,215529201,3.08
Need for Speed,66000000,203277636,3.08
Son of God,22000000,67800064,3.08
The Big Lebowski,15000000,46189568,3.08
300: Rise of an Empire,110000000,337580051,3.07
Face/Off,80000000,245676146,3.07
Focus,50100000,153962963,3.07
Dogma,10000000,30652890,3.07
X-Men: Apocalypse,178000000,543934787,3.06
Seven Pounds,55000000,168167691,3.06
Southpaw,30000000,91709827,3.06
Are We There Yet?,32000000,97918663,3.06
White Chicks,37000000,113086475,3.06
The Untouchables,25000000,76270454,3.05
Congo,50000000,152022101,3.04
Anaconda,45000000,136885767,3.04
Baby Geniuses,12000000,36450736,3.04
The Last Exorcism Part II,5000000,15179302,3.04
Tomorrow Never Dies,110000000,333011068,3.03
Immortals,75000000,226904017,3.03
A Bug's Life,120000000,363258859,3.03
Drag Me to Hell,30000000,90810892,3.03
Daddy Day Camp,6000000,18197398,3.03
It's a Wonderful Life,3180000,9644124,3.03
21 Grams,20000000,60427839,3.02
Halloween: The Curse of Michael Myers,5000000,15116634,3.02
Broken Arrow,50000000,150270147,3.01
Eight Below,40000000,120455994,3.01
Identity,30000000,90259536,3.01
Stay Alive,9000000,27105095,3.01
Mar adentro,12806000,38535221,3.01
How to Train Your Dragon,165000000,494878759,3.0
Thor,150000000,449326618,3.0
Rambo III,63000000,189015611,3.0
Apocalypto,40000000,120175290,3.0
Water for Elephants,38000000,114156230,3.0
Why Did I Get Married Too?,20000000,60072596,3.0
Selena,20000000,60000000,3.0
The Egyptian,5000000,15000000,3.0
Red River,3000000,9012000,3.0
X-Men: Days of Future Past,250000000,747862775,2.99
Con Air,75000000,224012234,2.99
Vanilla Sky,68000000,203388341,2.99
Hachi: A Dog's Tale,16000000,47801389,2.99
Cop Land,15000000,44862187,2.99
Inside Llewyn Davis,11000000,32935319,2.99
Harsh Times,2000000,5967038,2.98
Crimson Tide,53000000,157387195,2.97
August: Osage County,25000000,74188937,2.97
How to Be Single,38000000,112343513,2.96
Arbitrage,12000000,35485056,2.96
Man of Steel,225000000,662845518,2.95
Twilight Zone: The Movie,10000000,29450919,2.95
Melancholia,7400000,21817298,2.95
Hustle & Flow,8000000,23563727,2.95
Mad Max Beyond Thunderdome,12305523,36230219,2.94
A Low Down Dirty Shame,10000000,29392418,2.94
The Great Escape,4000000,11744471,2.94
Quantum of Solace,200000000,586090727,2.93
The Fifth Element,90000000,263920180,2.93
The Italian Job,60000000,176070171,2.93
"Me, Myself & Irene",51000000,149270999,2.93
Corpse Bride,40000000,117195061,2.93
Braveheart,72000000,210000000,2.92
Hop,63000000,183953723,2.92
Blade,45000000,131183530,2.92
Think Like a Man Too,24000000,70181428,2.92
Wall Street,15000000,43848069,2.92
Bathing Beauty,2361000,6892000,2.92
Brave,185000000,538983207,2.91
The Day the Earth Stood Still,80000000,233093859,2.91
The Transporter Refueled,25000000,72629670,2.91
WALL·E,180000000,521311860,2.9
Noah,125000000,362637473,2.9
Halloween: Resurrection,13000000,37664855,2.9
"I, Robot",120000000,347234916,2.89
Battle: Los Angeles,70000000,202466756,2.89
I Am Number Four,50000000,144492830,2.89
The 5th Wave,38000000,109906372,2.89
"Hail, Caesar!",22000000,63647656,2.89
Amadeus,18000000,51973029,2.89
Big Eyes,10000000,28883511,2.89
Action Jackson,7000000,20256975,2.89
"Lock, Stock and Two Smoking Barrels",1350000,3897569,2.89
Sex and the City 2,100000000,288347692,2.88
Click,82500000,237681299,2.88
Get Smart,80000000,230685453,2.88
Vertical Limit,75000000,215663859,2.88
Resident Evil: Apocalypse,45000000,129394835,2.88
Drumline,20000000,57588485,2.88
History of the World: Part I,11000000,31672907,2.88
Swimming Pool,7800000,22441323,2.88
Charlie's Angels,92000000,264105545,2.87
The X Files,66000000,189198313,2.87
Blade II,54000000,155010032,2.87
The Lake House,40000000,114830111,2.87
Boogie Nights,15000000,43101594,2.87
Wreck-It Ralph,165000000,471222889,2.86
G.I. Joe: Retaliation,130000000,371876278,2.86
The Adventures of Tintin,130000000,371940071,2.86
Antz,60000000,171757863,2.86
"Crazy, Stupid, Love.",50000000,142851197,2.86
The Men Who Stare at Goats,24000000,68729358,2.86
12 Angry Men,350000,1000000,2.86
High Plains Drifter,5500000,15700000,2.85
My Beautiful Laundrette,860000,2451545,2.85
Terminator Genisys,155000000,440603537,2.84
Troy,175000000,497409852,2.84
The Sum of All Fears,68000000,193000000,2.84
Starsky & Hutch,60000000,170268750,2.84
John Q,36000000,102244770,2.84
Street Fighter,35000000,99423521,2.84
Apocalypse Now,31500000,89460381,2.84
The Counselor,25000000,71009334,2.84
The Matrix Revolutions,150000000,424988211,2.83
Penguins of Madagascar,132000000,373552094,2.83
西游记之孙悟空三打白骨精,68490000,193677158,2.83
Paul Blart: Mall Cop 2,38000000,107597242,2.83
Singin' in the Rain,2540800,7200000,2.83
Maid in Manhattan,55000000,154906693,2.82
Meet the Spartans,30000000,84646831,2.82
The House Bunny,25000000,70442940,2.82
Drive Me Crazy,8000000,22593409,2.82
How the Grinch Stole Christmas,123000000,345141403,2.81
TMNT,34000000,95608995,2.81
The Newton Boys,27000000,76000000,2.81
Cars 2,200000000,559852396,2.8
Beowulf,70000000,195735876,2.8
Get Hard,40000000,111811453,2.8
Sicario,30000000,84025816,2.8
The Hurt Locker,15000000,42000000,2.8
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14000000,2.8
The Tourist,100000000,278731369,2.79
Dinosaur,127500000,354248063,2.78
Enemy of the State,90000000,250649836,2.78
"Legally Blonde 2: Red, White & Blonde",45000000,124914842,2.78
Logan's Run,9000000,25000000,2.78
Men in Black 3,225000000,624026776,2.77
The Mummy: Tomb of the Dragon Emperor,145000000,401128639,2.77
Pixels,88000000,243637091,2.77
Date Night,55000000,152263880,2.77
Serendipity,28000000,77516304,2.77
A Nightmare on Elm Street 5: The Dream Child,8000000,22168359,2.77
The Dictator,65000000,179379533,2.76
The Scorpion King,60000000,165333180,2.76
"O Brother, Where Art Thou?",26000000,71868327,2.76
Urban Legends: Final Cut,14000000,38574362,2.76
The Conversation,1600000,4420000,2.76
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,2.75
Night at the Museum: Battle of the Smithsonian,150000000,413106170,2.75
Night at the Museum: Secret of the Tomb,127000000,349424282,2.75
Carrie,30000000,82394288,2.75
The Crazies,20000000,54956140,2.75
Child's Play 2,13000000,35763605,2.75
Daddy Day Care,60000000,164433867,2.74
The Prestige,40000000,109676311,2.74
Elizabeth,30000000,82150642,2.74
The Spectacular Now,2500000,6854611,2.74
Home,135000000,368871007,2.73
Goosebumps,58000000,158162788,2.73
Milk,20000000,54586584,2.73
Katy Perry: Part of Me,12000000,32726956,2.73
What's Eating Gilbert Grape,11000000,30000000,2.73
Sicko,9000000,24538513,2.73
C.H.U.D.,1250000,3412497,2.73
Real Steel,110000000,299268508,2.72
The Happening,60000000,163403799,2.72
Shame,6500000,17693675,2.72
Warcraft,160000000,433677183,2.71
The Perfect Storm,120000000,325756637,2.71
Death Becomes Her,55000000,149022650,2.71
The Boss,29000000,78636257,2.71
The Wedding Planner,35000000,94728529,2.71
She's the One,3500000,9482579,2.71
Nim's Island,37000000,100076342,2.7
Just Go with It,80000000,214918407,2.69
War Horse,66000000,177584879,2.69
A League of Their Own,40000000,107458785,2.69
The Faculty,15000000,40283321,2.69
Project Almanac,12000000,32248241,2.69
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,2.68
