title,budget,revenue,roi
Scream,14000000,173046663,12.36
Forrest Gump,55000000,677945399,12.33
Mad Max 2,2000000,24600832,12.3
The Terminator,6400000,78371200,12.25
Reservoir Dogs,1200000,14661007,12.22
The Wizard of Oz,2777000,33754967,12.16
The Purge: Anarchy,9000000,108782847,12.09
Casablanca,878000,10462500,11.92
The Lord of the Rings: The Return of the King,94000000,1118888979,11.9
Indiana Jones and the Temple of Doom,28000000,333000000,11.89
The Purge: Election Year,10000000,118587880,11.86
The Gift,5000000,58978653,11.8
Avatar,237000000,2787965087,11.76
Batman,35000000,411348924,11.75
You Only Live Twice,9500000,111584787,11.75
The Lord of the Rings: The Two Towers,79000000,926287400,11.73
Mamma Mia!,52000000,609841637,11.73
Beasts of the Southern Wild,1800000,21107746,11.73
The Secret Life of Pets,75000000,875958308,11.68
Speed,30000000,350448145,11.68
Shakespeare in Love,25000000,289317794,11.57
The Witch,3500000,40423945,11.55
Born on the Fourth of July,14000000,161001698,11.5
The Broadway Melody,379000,4358000,11.5
The Grace Card,200000,2295733,11.48
Poltergeist,10700000,122200000,11.42
Unforgiven,14000000,159157447,11.37
The Karate Kid,8000000,90815558,11.35
Bridget Jones's Diary,25000000,281929795,11.28
The Best Years of Our Lives,2100000,23650000,11.26
Monster's Ball,4000000,44909486,11.23
Hoop Dreams,700000,7830611,11.19
The Bridge on the River Kwai,3000000,33300000,11.1
Boyhood,4000000,44349000,11.09
Waitress,2000000,22179430,11.09
Cool Runnings,14000000,154864401,11.06
Dallas Buyers Club,5000000,55198285,11.04
She Done Him Wrong,200000,2200000,11.0
Ted,50000000,549368315,10.99
High Noon,730000,8000000,10.96
Independence Day,75000000,816969268,10.89
No Escape,5000000,54418872,10.88
Bad Teacher,20000000,216197492,10.81
Chariots of Fire,5500000,58972904,10.72
Garden State,2500000,26781723,10.71
The Blind Side,29000000,309208309,10.66
Twilight,37000000,392616625,10.61
On the Waterfront,910000,9600000,10.55
Saw V,10800000,113857533,10.54
Amores perros,2000000,20908467,10.45
Rosemary's Baby,3200000,33395426,10.44
Insidious: Chapter 3,10000000,104303851,10.43
Me Before You,20000000,207945075,10.4
A Nightmare on Elm Street 4: The Dream Master,7000000,72500000,10.36
Des hommes et des dieux,4000000,41424067,10.36
She's All That,10000000,103166989,10.32
The Twilight Saga: Eclipse,68000000,698491347,10.27
The Maze Runner,34000000,348319861,10.24
Doctor Zhivago,11000000,111858363,10.17
Romeo + Juliet,14500000,147298761,10.16
Jackass Presents: Bad Grandpa,15000000,151831537,10.12
Jurassic World,150000000,1513528810,10.09
Cry_Wolf,1000000,10047674,10.05
Gojira ni-sen mireniamu,1000000,10037390,10.04
Kissing Jessica Stein,1000000,10013424,10.01
Finding Nemo,94000000,940335536,10.0
A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,29999213,10.0
Friday the 13th: A New Beginning,2200000,21930418,9.97
Snow Flower and the Secret Fan,134005,1332231,9.94
Se7en,33000000,327311859,9.92
The Kids Are All Right,3500000,34705850,9.92
Pitch Perfect 2,29000000,287506194,9.91
Aliens,18500000,183316455,9.91
Indiana Jones and the Last Crusade,48000000,474171806,9.88
Ice Age: Dawn of the Dinosaurs,90000000,886686817,9.85
Bronson,230000,2260712,9.83
Silver Linings Playbook,21000000,205738714,9.8
ハウルの動く城,24000000,234710455,9.78
Mama,15000000,146497771,9.77
Footloose,8200000,80035402,9.76
The Color Purple,15000000,146292009,9.75
Day of the Dead,3500000,34000000,9.71
Chronicle,15000000,145000000,9.67
Sliding Doors,6000000,58000000,9.67
Buried,1987650,19152480,9.64
American Pie 2,30000000,287553595,9.59
Annie Hall,4000000,38251425,9.56
Madea's Family Reunion,6000000,57231524,9.54
Alien,11000000,104931801,9.54
"Good Morning, Vietnam",13000000,123922370,9.53
Step Up,12000000,114194847,9.52
Austin Powers: The Spy Who Shagged Me,33000000,310940086,9.42
Jaws 2,20000000,187884007,9.39
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,9.37
Easy A,8000000,74952305,9.37
12 Years a Slave,20000000,187000000,9.35
The Devil Wears Prada,35000000,326551094,9.33
Cidade de Deus,3300000,30641770,9.29
El Mariachi,220000,2040920,9.28
Fiddler on the Roof,9000000,83304330,9.26
Titanic,200000000,1845034188,9.23
Ice Age: Continental Drift,95000000,877244782,9.23
The Hunger Games,75000000,691210692,9.22
American Sniper,58800000,542307423,9.22
Bad Moms,20000000,183936074,9.2
Lethal Weapon 3,35000000,321731527,9.19
Mr. Bean's Holiday,25000000,229736344,9.19
Friday the 13th Part III,4000000,36690067,9.17
Sleeper,2000000,18344729,9.17
Red Dawn,4200000,38376497,9.14
High Anxiety,3400000,31063038,9.14
The Sessions,1000000,9138338,9.14
White Noise,10000000,91196419,9.12
Taken,25000000,226830568,9.07
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2000000,18016290,9.01
Lights Out,4900000,44107032,9.0
The Greatest Show on Earth,4000000,36000000,9.0
Love Me Tender,1000000,9000000,9.0
A Nightmare on Elm Street 3: Dream Warriors,5000000,44793222,8.96
The Artist,15000000,133432856,8.9
Bowling for Columbine,4000000,35564473,8.89
Bridesmaids,32500000,288383523,8.87
The Descendants,20000000,177243185,8.86
Boyz n the Hood,6500000,57504069,8.85
The Iron Lady,13000000,114956699,8.84
Oculus,5000000,44030246,8.81
The Lost Weekend,1250000,11000000,8.8
The Robe,4100000,36000000,8.78
Still Alice,5000000,43884652,8.78
Harry Potter and the Chamber of Secrets,100000000,876688482,8.77
Splash,8000000,69821334,8.73
Some Like It Hot,2883848,25000000,8.67
Notting Hill,42000000,363889678,8.66
The Santa Clause,22000000,189833357,8.63
The Second Best Exotic Marigold Hotel,10000000,85978266,8.6
The English Patient,27000000,231976425,8.59
Stripes,10000000,85300000,8.53
Frozen,150000000,1274219009,8.49
Monsters,500000,4242978,8.49
Babe,30000000,254134910,8.47
Time Bandits,5000000,42365581,8.47
Tootsie,21000000,177200000,8.44
Heaven is for Real,12000000,101332962,8.44
Big,18000000,151668774,8.43
DodgeBall: A True Underdog Story,20000000,167722310,8.39
The Fugitive,44000000,368875760,8.38
Escape from New York,6000000,50244700,8.37
The Return of the Pink Panther,5000000,41833347,8.37
Taken 2,45000000,376141306,8.36
Snatch,10000000,83557872,8.36
First Blood,15000000,125212904,8.35
Philomena,12000000,100129872,8.34
La Bamba,6500000,54215416,8.34
Project X,12000000,100000000,8.33
The Apartment,3000000,25000000,8.33
Back to the Future Part II,40000000,332000000,8.3
Magic Mike XXL,14800000,122513057,8.28
Ice Age: The Meltdown,80000000,660940780,8.26
The Theory of Everything,15000000,123726688,8.25
The Queen,15000000,123384128,8.23
Gran Torino,33000000,269958228,8.18
Sense and Sensibility,16500000,135000000,8.18
Dirty Grandpa,11500000,94073028,8.18
Robin Hood: Prince of Thieves,48000000,390493908,8.14
(500) Days of Summer,7500000,60722734,8.1
The Waterboy,23000000,185991646,8.09
Shrek,60000000,484409218,8.07
Star Trek II: The Wrath of Khan,12000000,96800000,8.07
Friday,3500000,28215918,8.06
Star Wars: Episode I - The Phantom Menace,115000000,924317558,8.04
Let's Be Cops,17000000,136621271,8.04
괴물,11000000,88489643,8.04
"As Above, So Below",5000000,40100000,8.02
Think Like a Man,12000000,96070507,8.01
The Conjuring 2,40000000,320170008,8.0
The Last King of Scotland,6000000,48027970,8.0
Menace II Society,3500000,27900000,7.97
Philadelphia,26000000,206678440,7.95
Furious 7,190000000,1506249360,7.93
The Proposal,40000000,317375031,7.93
Begin Again,8000000,63464861,7.93
Scoop,4000000,31584901,7.9
Despicable Me,69000000,543513985,7.88
My Best Friend's Wedding,38000000,299288605,7.88
Legally Blonde,18000000,141774679,7.88
Bloodsport,1500000,11806119,7.87
The Lego Movie,60000000,469160692,7.82
Harry Potter and the Philosopher's Stone,125000000,976475550,7.81
"Good Night, and Good Luck.",7000000,54600000,7.8
Sands of Iwo Jima,1000000,7800000,7.8
Air Bud,3000000,23144499,7.71
National Lampoon’s Van Wilder,5000000,38275483,7.66
Ночной дозор,4200000,32000000,7.62
The Exorcism of Emily Rose,19000000,144216468,7.59
Mean Girls,17000000,129042871,7.59
The Bridges of Madison County,24000000,182016617,7.58
Justin Bieber: Never Say Never,13000000,98441954,7.57
Monster,8000000,60378584,7.55
Phone Booth,13000000,97837138,7.53
Star Wars: Episode III - Revenge of the Sith,113000000,850000000,7.52
The Woman in Black,17000000,127730736,7.51
Shaun of the Dead,4000000,30039392,7.51
Road Trip,16000000,119754278,7.48
Patton,12000000,89800000,7.48
Beverly Hills Chihuahua,20000000,149281606,7.46
The Wrestler,6000000,44703995,7.45
Bad Boys,19000000,141407024,7.44
The Flintstones,46000000,341631208,7.43
East Is East,3800000,28200000,7.42
Sausage Party,19000000,140752617,7.41
The Squid and the Whale,1500000,11098131,7.4
I Know What You Did Last Summer,17000000,125586134,7.39
The Butterfly Effect,13000000,96060858,7.39
Hard Candy,950000,7022209,7.39
The Matrix,63000000,463517383,7.36
It Follows,2000000,14674076,7.34
We're the Millers,37000000,269994119,7.3
