name,film_count,avg_revenue
Robert Wise,4,120311917.75
Robert Redford,4,76259415.5
Rob Zombie,4,20613697.75
Rob Letterman,4,286082600.25
Rob Bowman,4,72948031.0
Rick Famuyiwa,4,22954540.25
Richard Fleischer,4,41174231.0
Pierre Morel,4,75721396.25
Phil Lord,4,275544025.0
Peyton Reed,4,260188139.5
Peter Weir,4,195174105.25
Peter Howitt,4,66698698.25
Peter Chelsom,4,103390583.5
Penny Marshall,4,79800797.75
Nicolas Winding Refn,4,22996512.0
Nick Cassavetes,4,127586016.75
Mira Nair,4,10801152.0
Mike Mitchell,4,311800296.0
Mikael Håfström,4,92780354.5
Michael Caton-Jones,4,62997646.0
Matthew Vaughn,4,149305816.75
Martin Brest,4,126245098.25
Luke Greenfield,4,77926777.25
Ken Kwapis,4,77584735.25
Keenen Ivory Wayans,4,96323673.0
Jonathan Mostow,4,183817582.75
Jonathan Frakes,4,83769230.0
John Moore,4,125708367.25
John Lee Hancock,4,130792473.0
John Ford,4,6500000.0
John Erick Dowdle,4,42239366.5
John Dahl,4,18039522.25
Jerry Zucker,4,200388127.0
Jeff Tremaine,4,101529208.0
Jean-Pierre Jeunet,4,89854185.75
Jean-Jacques Annaud,4,86466640.0
Jay Chandrasekhar,4,38369415.5
James McTeigue,4,59425661.75
James Ivory,4,18161277.5
Jake Kasdan,4,90641122.5
J.J. Abrams,4,377747922.75
Iain Softley,4,51836015.0
Hayao Miyazaki,4,214122594.0
Gavin Hood,4,133307174.0
Gary Winick,4,89502611.5
Fred Zinnemann,4,19912500.0
Frank Oz,4,52954581.25
Frank Marshall,4,90605046.0
Frank Darabont,4,101838804.25
Eli Roth,4,37017449.25
David Twohy,4,72537581.25
David Lynch,4,21013473.25
David Lean,4,60585350.25
David Koepp,4,43887104.25
David Frankel,4,173090726.5
David Bowers,4,64519988.25
Darren Lynn Bousman,4,114085666.75
D.J. Caruso,4,110249057.75
Curtis Hanson,4,87056249.5
Craig Gillespie,4,31655654.25
Conrad Vernon,4,547255629.75
Chuck Russell,4,201001342.75
Christopher Miller,4,275544025.0
Catherine Hardwicke,4,124947946.75
Burr Steers,4,51402493.25
Brian Taylor,4,66884378.25
Brad Silberling,4,141328297.25
Brad Anderson,4,20768997.5
Bob Clark,4,47645615.0
Bill Condon,4,249736079.0
Baz Luhrmann,4,181776654.0
Andrew Stanton,4,527261338.75
Allen Hughes,4,69816758.5
Adrian Lyne,4,134735150.5
Zhang Yimou,3,121856603.67
Wong Kar-wai,3,35044928.67
William Brent Bell,3,64350650.67
Will Gluck,3,119752628.67
Warren Beatty,3,57774756.33
Victor Fleming,3,146431475.33
Vicky Jenson,3,286029827.33
Tony Gilroy,3,143188257.67
Tom Dey,3,76469780.33
Todd Haynes,3,11360941.0
Thor Freudenthal,3,107771236.33
Thomas Carter,3,65945348.33
Terrence Malick,3,61112268.0
Taylor Hackford,3,107964278.33
Steven Brill,3,91113213.67
Steve Pink,3,41963199.0
Steve Miner,3,38427752.33
Stephen Sommers,3,248895105.67
Stephen Chow,3,63664225.33
Sofia Coppola,3,63535857.67
Simon Wincer,3,21391429.67
Simon Wells,3,127111707.33
Shekhar Kapur,3,62090283.33
Sergio Leone,3,8607169.33
Scott Hicks,3,72047989.67
Scott Derrickson,3,151674255.33
Scott Cooper,3,51233436.67
Sam Fell,3,74158620.0
Ruben Fleischer,3,82713241.67
Ronny Yu,3,55193564.67
Ron Clements,3,293558033.0
Roger Spottiswoode,3,145498848.33
Roger Michell,3,172536874.0
Roger Kumble,3,61313051.67
Robert Iscove,3,42905509.0
Richard Lester,3,92869666.0
Richard Kelly,3,11659598.67
Richard Curtis,3,122793666.33
Richard Brooks,3,13659291.67
Richard Benjamin,3,8533235.33
Reginald Hudlin,3,33576728.33
Rawson Marshall Thurber,3,218229657.33
Randall Wallace,3,92081705.67
Randal Kleiser,3,91820012.0
Pierre Coffin,3,890335610.67
Peter Sollett,3,12121129.33
Peter Cattaneo,3,88917892.67
Pete Docter,3,718508837.33
Paul McGuigan,3,34512478.67
Paul Haggis,3,59700167.33
Paul Feig,3,225401737.33
Patrick Lussier,3,54222152.0
Patricia Riggen,3,41738038.0
Park Chan-wook,3,16953584.67
Olivier Megaton,3,254292861.33
Norman Jewison,3,52420194.0
Noah Baumbach,3,7585147.33
Nimród Antal,3,52388000.33
Niki Caro,3,37444767.0
Nicole Holofcener,3,14281413.33
Nicholas Hytner,3,25836255.33
Neill Blomkamp,3,200453286.33
Morgan Spurlock,3,9766921.33
Miloš Forman,3,69462911.33
